x1,x2,x3,x4,x5,x6,x7,math
-3.0,-6.0,27.0,19.0,2.0,2.0,3.0,98.0
-8.0,3.0,26.0,19.0,8.0,6.0,2.0,109.0
9.0,6.0,28.0,18.0,4.0,0.0,-1.0,109.0
-2.0,1.0,23.0,22.0,2.0,3.0,1.0,112.0
-3.0,-10.0,29.0,19.0,1.0,5.0,4.0,102.0
18.0,10.0,31.0,18.0,4.0,-5.0,-3.0,106.0
-3.0,11.0,31.0,22.0,9.0,6.0,3.0,105.0
9.0,1.0,31.0,21.0,2.0,-2.0,-0.0,98.0
13.0,2.0,29.0,19.0,4.0,1.0,1.0,117.0
-1.0,14.0,21.0,22.0,1.0,7.0,3.0,125.0
12.0,3.0,30.0,15.0,6.0,0.0,1.0,114.0
10.0,8.0,29.0,19.0,5.0,-1.0,2.0,110.0
10.0,2.0,29.0,20.0,4.0,2.0,0.0,112.0
13.0,4.0,27.0,15.0,4.0,0.0,1.0,118.0
-12.0,5.0,28.0,18.0,7.0,6.0,4.0,97.0
-6.0,-6.0,27.0,19.0,7.0,2.0,1.0,100.0
-3.0,-7.0,27.0,17.0,2.0,-0.0,2.0,94.0
15.0,17.0,26.0,16.0,5.0,2.0,-0.0,129.0
8.0,0.0,28.0,18.0,3.0,-0.0,1.0,108.0
9.0,3.0,31.0,21.0,1.0,3.0,1.0,108.0
11.0,1.0,29.0,20.0,3.0,-1.0,0.0,107.0
15.0,11.0,28.0,17.0,3.0,0.0,-0.0,121.0
12.0,6.0,30.0,16.0,7.0,0.0,0.0,114.0
